,period,SMA,EMA,WMA,DEMA,KAMA,MIDPOINT,MIDPRICE,T3,TEMA,TRIMA
57,61,1.8956631247912945,1.673334520748962,1.671176260440803,1.6818895396178906,1.7426256932401307,2.4576968882232104,2.549337770316445,1.814782646853927,1.747051664093237,1.7321705510062064
58,62,1.9008241506053165,1.6737176720711415,1.6769927820179402,1.680525476729869,1.7453634057922143,2.4239143389149236,2.485503804248386,1.8212112977760457,1.7439188454743517,1.7469220008895758
59,63,1.9003131336840717,1.6741176578034356,1.6825303247635033,1.6792295354762194,1.7449495832353528,2.3649803437985777,2.404136099005536,1.827844902565923,1.7408575509355095,1.761207703096249
60,64,1.8935626695016643,1.674533282378053,1.6876419548719928,1.67799918523485,1.7476521974024233,2.275090274948063,2.3160450804645842,1.8346709973559852,1.737868196642736,1.775154131042575
61,65,1.881231946275511,1.6749634196104701,1.6922135275065258,1.676831993717415,1.733757215889237,2.1822060160708543,2.209748741887299,1.841675414107561,1.7349510491661861,1.7880121540283183
62,66,1.8658908329873853,1.6754070079829733,1.6962015723342232,1.6757256218201144,1.7234435585805976,2.0987545868346205,2.1023093507190183,1.8488423790857642,1.732106229086734,1.800137902291171
63,67,1.8476681385641183,1.6758630463590403,1.6995953337797496,1.6746778188847888,1.7051374166996462,1.9876507496691793,1.9698464640452173,1.8561546074670496,1.729333715605569,1.8108037596609379
64,68,1.826653712269153,1.6763305900784815,1.7023858751105738,1.673686418343324,1.6861369415111451,1.8455759907267295,1.8111260761884216,1.8635933961136353,1.7266333521132544,1.8202810514515209
65,69,1.8051393682519559,1.6768087473909108,1.7046116477157756,1.6727493337162929,1.6628644914854467,1.724702188596485,1.7135424682214957,1.8711387164856643,1.7240048526172127,1.8280325707147567
66,70,1.7837847439803534,1.6772966761887445,1.7063068954484657,1.671864554932374,1.6476258403935777,1.6416573759681174,1.630201695063794,1.8787693095132008,1.7214478088874883,1.8344585622607052
67,71,1.7656757607508522,1.6777935810074096,1.7075639866272874,1.6710301449382796,1.6313287768948337,1.6163250915277227,1.553769847181336,1.886462784118322,1.718961698168853,1.8393404577751875
68,72,1.7510135454692715,1.6782987102629254,1.708476470575832,1.6702442365669405,1.620119702355763,1.6341832800860374,1.503669226103407,1.8941957208488671,1.7165458913016731,1.8431339096613815
69,73,1.7369808664132458,1.6788113537020608,1.7090642336809103,1.669505029636237,1.6077178692074874,1.6393182323761264,1.458246702534306,1.9019437819081715,1.7141996611007237,1.8456612597783608
70,74,1.7251389912898285,1.679330840042508,1.7093832813434149,1.6688107882517051,1.5976175652420501,1.637257226989636,1.450276252749047,1.9096818285862887,1.7119221908539297,1.847360488586662
71,75,1.7173119974636317,1.6798565347837668,1.709523583863882,1.6681598382895544,1.5893708549019794,1.6232238906373953,1.4391247004520245,1.9173840469045667,1.7097125828168582,1.8482808835943338
72,76,1.7141495248962553,1.6803878381715993,1.7095915883254549,1.6675505650390212,1.5800152954760998,1.6614209562010607,1.4755009323322628,1.9250240819576627,1.7075698665974708,1.8489275453061724
73,77,1.712353592660436,1.6809241833013842,1.709617884467175,1.6669814109855408,1.5684491613252602,1.6702476331588152,1.495853526758947,1.932575181216427,1.705493007340299,1.8492906299455223
74,78,1.7126743788355665,1.6814650343467479,1.7096538955047187,1.6664508737183152,1.5599697473877623,1.6753971158950873,1.5047556649926677,1.940010346752156,1.703480913637907,1.8496995449815865
75,79,1.7144970366770085,1.6820098849026923,1.7097345127283257,1.665957503948624,1.5561808885644837,1.6744410954309403,1.5047026326949908,1.9473024960715104,1.7015324451126583,1.8501103608526042
76,80,1.7151932023206908,1.6825582564321961,1.7098371216372577,1.6654999036262643,1.5548002360118516,1.6696162286680019,1.5016963768071927,1.9544246309373678,1.6996464196242045,1.8506436524451333
77,81,1.718235823416148,1.683109696808253,1.710011104506724,1.66507672414443,1.5471772553114356,1.6469817937479299,1.492001315322673,1.9613500133516157,1.697821620073906,1.8513274484769164
78,82,1.7205581533285959,1.6836637789425453,1.7102382650321875,1.664686664623483,1.5419356970398157,1.6276741306446945,1.4907157095195138,1.968052347488448,1.696056800784351,1.8521588468996375
79,83,1.7196484836321484,1.6842200994944054,1.7104396563062894,1.6643284702664722,1.5395187031772801,1.61669785411482,1.4945342655283382,1.9745059662350253,1.6943506934448551,1.8530301159321023
80,84,1.7160923889211919,1.6847782776534688,1.7105455088937032,1.6640009307800252,1.5394773570372318,1.6060656032679286,1.5004248895146275,1.9806860206587447,1.6927020126201189,1.8537100869831158
81,85,1.710948799514581,1.6853379539904354,1.7105083493363638,1.6637028788550066,1.5378476161622878,1.5957480940939335,1.5081441495639825,1.9865686705190841,1.6911094608246058,1.8542045747517613
82,86,1.7035419468677166,1.6858987893712845,1.7102597291849422,1.663433188702747,1.536068063275129,1.5865133005531913,1.5181307838113185,1.9921312737911732,1.6895717331731148,1.8541738897636844
83,87,1.6945069323750674,1.6864604639299574,1.7097475506608502,1.663190774642226,1.5306257932230651,1.5793771901683862,1.5299972334872245,1.9973525729926602,1.6880875216210813,1.8537083019332856
84,88,1.6844853105296724,1.6870226760960079,1.7089402334893955,1.6629745897361417,1.5236446360323899,1.5743528924133716,1.5441655033694877,2.002212875744655,1.6866555188057797,1.8524649963133564
85,89,1.6738534591960537,1.6875851416732484,1.707816004012625,1.662783624471689,1.5222172787363635,1.5688973238999149,1.5597392078739782,2.006694227404879,1.6852744215142776,1.8506643964652938
86,90,1.6626988047498041,1.6881475929662202,1.7063570387620501,1.6626169054848798,1.519596108986173,1.5634660695291207,1.5769252846882662,2.0107805729901305,1.6839429337923773,1.8479578317131835
87,91,1.65198185497304,1.6887097779514815,1.7045682674352125,1.6624734943254547,1.5183062456773686,1.560985497457097,1.5979805765361654,2.0144579059605467,1.6826597697172139,1.8446702280568306
88,92,1.642581113948949,1.6892714594910907,1.702501770006841,1.6623524862615002,1.5201116853151888,1.5614115749621547,1.6229386468215317,2.0177144013526345,1.681423655854953,1.8406167935661544
89,93,1.6350681628457433,1.6898324145854968,1.700224483904299,1.6622530091209498,1.523462688332856,1.564705045347627,1.6518384106051902,2.020540530906805,1.6802333334270927,1.8362218428020285
90,94,1.6302606615975102,1.6903924336639549,1.6978070817454742,1.6621742221707811,1.5260543602325272,1.570958827210919,1.6809898561456145,2.0229291578090325,1.6790875601975603,1.8314025909989133
91,95,1.6278402552955151,1.6909513199100723,1.6953180218175596,1.6621153150295218,1.528088829308526,1.572259340929941,1.7053487219531247,2.0248756092492344,1.677985112121245,1.8265668614842088
92,96,1.6292585124800956,1.6915088886205978,1.692848148253288,1.6620755066148136,1.529896236327712,1.5766855711168497,1.7363096038155297,2.026377724743104,1.676924784752233,1.8216923624613142
93,97,1.633580341697157,1.6920649665956566,1.6904728229946855,1.6620540441248053,1.5325980279558953,1.5802866367015815,1.7653707527302083,2.027435879017892,1.6759053944340943,1.817201656991963
94,98,1.6400247850757237,1.6926193915587928,1.6882299387843651,1.662050202051293,1.5330228187911612,1.5857491621452209,1.7995988782493577,2.028052978513436,1.6749257792989278,1.8129061483720887
95,99,1.6480433854450836,1.6931720116053612,1.6861362377606441,1.662063281221415,1.5361488207370375,1.5974363243051921,1.833439067209806,2.0282344303998214,1.6739848001150779,1.8091315175022569
